"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","worker_id","corr_resp","probe","target","foil1","dist1","foil1Pos","foil2","dist2","foil2Pos","subjCond","questionOrder","counterbalance_condition","question","roomNum","roomType","sameRoom","context","probeTable","foil1Table","foil2Table","imageSize"
"4008.590000041295","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify"">We will now present you with questions to test your memory for the objects presented in the film you just saw. There will be two blocks in this part of the study. In each block we will ask you the same question for each object presented at the top of the screen. <br>Between the blocks you may pause for 1-2 minutes to catch your breath but please do not pause longer. We will tell you when the first block is over. It's important to note that because the question will change in the second block. The progress bar at the very top will show you how much of the task you already completed.<br><br>Press <strong>space</strong> for the next page.","32","html-keyboard-response","0","4016","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"972.6900000241585","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify"">The question for the first block is <i>`In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?`</i>. Under this question you see an image of an object that you saw during the video along with three additional objects at the bottom of the screen. <br><br>Please indicate which of the three objects at the bottom <strong>immediately followed</strong> that object that is currently probed. The objects at the bottom are labelled 1, 2 and 3. To give your response, please press the respective key on your keyboard.<br><br>Note that it's not enough to just select the object that was presented any time point <strong>after</strong> the tested object. Please note that for each question there is only one correct answer.<br><br>Press <strong>space</strong> for the next page.","32","html-keyboard-response","1","6996","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","",""
"670.8550000330433","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify"">Please try and give the correct answers to the best of your ability and guess if you do not remember. We are aware that this task is quite challenging but please continue to try to do your best until you have completed the experiment. Don't be discouraged if you feel that you don't remember the correct answers. <br><br>Press <strong>space</strong> to begin the task.","32","html-keyboard-response","2","9677","0.0-2.0","","","","","","","","","","","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","12201","0.0-3.0-0.0","fixation","","","","","","","","","","","","","","","","","","","","","",""
"1040.3449999867007","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/36.png' style='width:-30.91814946619217px;height: -24px;'><div class='threeColumn'><img src='images/stimuli/52.png' style='width:-30.91814946619217px;height: -24px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/5.png' style='width:-30.91814946619217px;height: -24px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/18.png' style='width:-30.91814946619217px;height: -24px;'><div class='num'>3</div></div></div>","49","html-keyboard-response","4","13242","0.0-3.0-1.0","temporalOrder1","10453","2","36","images/stimuli/5.png","images/stimuli/52.png","-6","1","images/stimuli/18.png","27","3","3","1","7","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?","17","o","0","across","3","3","2","-0.028469750889679714"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","13750","0.0-3.0-0.1","fixation","","","","","","","","","","","","","","","","","","","","","",""
"279.1549999965355","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/22.png' style='width:-30.91814946619217px;height: -24px;'><div class='threeColumn'><img src='images/stimuli/84.png' style='width:-30.91814946619217px;height: -24px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/24.png' style='width:-30.91814946619217px;height: -24px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/71.png' style='width:-30.91814946619217px;height: -24px;'><div class='num'>3</div></div></div>","50","html-keyboard-response","6","14030","0.0-3.0-1.1","temporalOrder1","10453","1","22","images/stimuli/84.png","images/stimuli/71.png","-5","3","images/stimuli/24.png","35","2","3","1","7","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?","7","o","0","across","3","2","2","-0.028469750889679714"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","14541","0.0-3.0-0.2","fixation","","","","","","","","","","","","","","","","","","","","","",""
"80.91000001877546","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/69.png' style='width:-30.91814946619217px;height: -24px;'><div class='threeColumn'><img src='images/stimuli/35.png' style='width:-30.91814946619217px;height: -24px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/82.png' style='width:-30.91814946619217px;height: -24px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/81.png' style='width:-30.91814946619217px;height: -24px;'><div class='num'>3</div></div></div>","49","html-keyboard-response","8","14623","0.0-3.0-1.2","temporalOrder1","10453","3","69","images/stimuli/81.png","images/stimuli/35.png","-5","1","images/stimuli/82.png","55","2","3","1","7","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately after</strong> this object?","6","o","1","within","2","3","3","-0.028469750889679714"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","15130","0.0-3.0-0.3","fixation","","","","","","","","","","","","","","","","","","","","","",""
