"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","worker_id","corr_resp","probe","target","foil1","dist1","foil1Pos","foil2","dist2","foil2Pos","subjCond","questionOrder","counterbalance_condition","question","roomNum","roomType","sameRoom","context","probeTable","foil1Table","foil2Table","imageSize"
"62219","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify"">We will now present you with questions to test your memory for the objects presented in the film you just saw. There will be two blocks in this part of the study. In each block we will ask you the same question for each object presented at the top of the screen. <br>Between the blocks you may pause for 1-2 minutes to catch your breath but please do not pause longer. We will tell you when the first block is over. It's important to note that because the question will change in the second block. The progress bar at the very top will show you how much of the task you already completed.<br><br>Press <strong>space</strong> for the next page.","32","html-keyboard-response","0","62223","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"13707","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify"">The question for the first block is <i>`In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?`</i>. Under this question you see an image of an object that you saw during the video along with three additional objects at the bottom of the screen. <br><br>Please indicate which of the three objects at the bottom <strong>immediately preceded</strong> that object that is currently probed. The objects at the bottom are labelled 1, 2 and 3. To give your response, please press the respective key on your keyboard.<br><br>Note that it's not enough to just select the object that was presented any time point <strong>before</strong> the tested object. Please note that for each question there is only one correct answer.<br><br>Press <strong>space</strong> for the next page.","32","html-keyboard-response","1","77936","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","",""
"6436","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify"">Please try and give the correct answers to the best of your ability and guess if you do not remember. We are aware that this task is quite challenging but please continue to try to do your best until you have completed the experiment. Don't be discouraged if you feel that you don't remember the correct answers. <br><br>Press <strong>space</strong> to begin the task.","32","html-keyboard-response","2","86383","0.0-2.0","","","","","","","","","","","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","88904","0.0-3.0-0.0","fixation","","","","","","","","","","","","","","","","","","","","","",""
"10512","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/77.png' style='width:443.16014234875445px;height: 344px;'><div class='threeColumn'><img src='images/stimuli/61.png' style='width:443.16014234875445px;height: 344px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/70.png' style='width:443.16014234875445px;height: 344px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/81.png' style='width:443.16014234875445px;height: 344px;'><div class='num'>3</div></div></div>","50","html-keyboard-response","4","99424","0.0-3.0-1.0","temporalOrder1","10488","3","77","images/stimuli/81.png","images/stimuli/70.png","-3","2","images/stimuli/61.png","8","1","3","0","3","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?","7","o","0","across","2","3","2","0.4080664294187426"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","99936","0.0-3.0-0.1","fixation","","","","","","","","","","","","","","","","","","","","","",""
"5460","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/83.png' style='width:443.16014234875445px;height: 344px;'><div class='threeColumn'><img src='images/stimuli/43.png' style='width:443.16014234875445px;height: 344px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/70.png' style='width:443.16014234875445px;height: 344px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/17.png' style='width:443.16014234875445px;height: 344px;'><div class='num'>3</div></div></div>","50","html-keyboard-response","6","105399","0.0-3.0-1.1","temporalOrder1","10488","1","83","images/stimuli/43.png","images/stimuli/70.png","-15","2","images/stimuli/17.png","8","3","3","0","3","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?","13","o","0","across","2","3","2","0.4080664294187426"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","105915","0.0-3.0-0.2","fixation","","","","","","","","","","","","","","","","","","","","","",""
"3143","<p>In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?</p><div class='grid'><img class='top' src='images/stimuli/27.png' style='width:443.16014234875445px;height: 344px;'><div class='threeColumn'><img src='images/stimuli/69.png' style='width:443.16014234875445px;height: 344px;'><div class='num'>1</div></div><div class='threeColumn'><img src='images/stimuli/84.png' style='width:443.16014234875445px;height: 344px;'><div class='num'>2</div></div><div class='threeColumn'><img src='images/stimuli/10.png' style='width:443.16014234875445px;height: 344px;'><div class='num'>3</div></div></div>","50","html-keyboard-response","8","109063","0.0-3.0-1.2","temporalOrder1","10488","2","27","images/stimuli/84.png","images/stimuli/69.png","-5","1","images/stimuli/10.png","43","3","3","0","3","In the video you just watched, which one of the three objects at the bottom of the screen appeared <strong>immediately before</strong> this object?","8","o","1","within","3","2","2","0.4080664294187426"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","109575","0.0-3.0-0.3","fixation","","","","","","","","","","","","","","","","","","","","","",""
